"Victim
Age","Victim
Race","Victim
Gender",Offender Relationship to Victim,Child Harmed/T hreat of Harm,Location,Region,RSO,O- Age,O- Race,O- Gender,"Rural/C
ity","Missing
Location","Recovery
Location",Victim Recovery Status,Motive,Year
1,Black,Male,Father,,Albany,Northeast,No,27,Black,Male,Rural,Home,,Deceased,False Allegation,2013
12,White,Female,Unknown,,Buffalo,Northeast,No,20,Black,Male,Rural,School,>10 miles,Alive,Unknown,2013
1,Black,Male,Neighbor,,Birmingham,SouthEast,No,14,Black,Female,City,Home,,Alive,Intent to Keep/Infant,2013
,,,Stranger,,,,No,15,Black,Female,,,,,,2013
8,Black,Female,"Father's
Girlfriend",No,Birmingham,SouthEast,No,35,Black,Female,Rural,,>10 miles,Alive,Custodial,2013
15,White,Male,Runaway,,Boston,SouthEast,,,None,,Rural,,,Alive,Runaway,2013
15,White,Male,Ex Boyfriend,,Boston,SouthEast,,20,White,Male,Rural,Home,,Deceased,Runaway,2013
2,"Hispani
c",Male,Stranger,,Boston,SouthEast,,28,"Hispani
c",Male,Rural,Home,,Alive,Unknown,2013
16,White,Female,Unknown,,Charlotte,SouthEast,,,"Unkno
wn","Unknow
n",Rural,,,Deceased,Unknown,2013
13,White,Female,Acquaintance,,Charlotte,SouthEast,,20,"Unkno
wn",Male,City,,,Alive,Unknown,2013
15,White,Female,Unknown,,Charlotte,SouthEast,,,"Unkno
wn","Unknow
n",,,,Missing,Unknown,2013
1,Black,Female,Stranger,,Charlotte,SouthEast,,,"Unkno
wn","Unknow
n",Rural,,,Alive,Unknown,2013
14,White,Female,Unknown,,Charlotte,SouthEast,,,"Hispani
c",Female,Rural,"School Bus
Stop",,Missing,Runaway,2013
15,White,Female,"Paternal
Grandmother",No,Cincinnati,Central,No,,"Unkno
wn",Male,,,,Missing,Custodial,2013
5,White,Male,Father,"No;
Threatened harm; High speed chase",Columbia,SouthEast,No,37,White,Male,Rural,Home,>10 miles,Alive,Custodial,2013
2,White,Female,,,,,,,,,,,,,,2013
3,Black,Male,Mother,,Cleveland,Central,No,20,Black,Female,City,,>10 miles,Deceased,False Allegation,2013
1,Black,Male,"Aquaintance of
Parent",,Cleveland,Central,,,Black,Male,City,Home,,Alive,Ransom,2013
,,,,,,,,,Black,Male,,,,,,2013
,,,,,,,,,Black,Male,,,,,,2013
15,Black,Female,Runaway,,Cleveland,Central,N/A,,"Unkno
wn","Unknow
n",Rural,Home,,Alive,Runaway,2013
14,White,Male,Brother,,Cleveland,Central,No,17,White,Male,City,Home,,Deceased,Unknown,2013
17,White,Male,Brother,,,,,,,,,,,Deceased,,2013
12,Black,Male,Mother,No,Cleveland,Central,No,45,Black,Female,City,Home,,Alive,Custodial,2013
1,White,Female,Stranger,,Cleveland,Central,,24,White,Male,Rural,,,Deceased,False Allegation,2013
8,White,Male,Father,No,Cleveland,Central,No,36,White,Male,City,,,Alive,Custodial,2013
14,White,Male,Runaway,,Cleveland,Central,,,,,Rural,,,Alive,Runaway,2013
4,White,Male,"Mother's
Boyfriend",,Detroit,Central,,37,White,Male,Rural,,,Alive,None,2013
5,White,Male,,,,,,,,,,,,Alive,,2013
1,Other,Male,Family Friend,,Detroit,Central,No,62,Black,Male,City,,>10 miles,Alive,Unknown,2013
3,Black,Male,Mother's Friend,,Detroit,Central,,27,Black,Female,City,,,Alive,Intent to Keep/Infant,2013
4,White,Male,Father,"No; Father
murdered
Mother",Dallas,"South
Central",No,42,White,Male,City,Home,>10 miles,Alive,Custodial,2013
2,"Hispani
c",Female,Family Friend,,Dallas,"South
Central",No,42,White,Female,City,,,Deceased,False Allegation,2013
12,Black,Female,Mother,No,Dallas,"South
Central",No,43,Black,Female,Rural,,>10 miles,Alive,Custodial,2013
,"Unkno
wn",Male,Stranger,,Dallas,"South
Central",Yes,,Black,Male,City,Home,1-10 miles,Alive,Sexual,2013
10,White,Female,Stranger,,Denver,West,No,17,White,Male,Rural,Street,1-10 miles,Deceased,Sexual,2013
