incident.number,incident.date,public,city,state,division.name,rural.city,rec.location,motive,victim.age,victim.race,victim.sex,RSO,offender.age,offender.race,offender.sex,Victim.in.relation,multiple.victims,multiple.offenders,type,target.harm,exclude,primary.incident,relationship.group,same.race
13-2,2013-05-01,Yes,Buffalo,NY,Northeast,Rural,>10 miles,Unknown,12,White,Female,No,20,Black,Male,Unknown,1,1,SingleVO,No,0,Yes,,0
13-3,2013-06-01,Yes,Birmingham,AL,Southeast,City,,Intent to Keep,1,Black,Male,No,14,Black,Female,Neighbor,1,2,MultOff,No,0,Yes,Known,1
13-3,2013-06-01,Yes,Birmingham,AL,Southeast,City,,Intent to Keep,1,Black,Male,No,15,Black,Female,Stranger,1,2,MultOff,No,0,No,Stranger,1
13-4,2013-08-01,Yes,Birmingham,AL,Southeast,Rural,>10 miles,Custodial,8,Black,Female,No,35,Black,Female,Child of Boyfriend/Girlfriend,1,1,SingleVO,No,0,Yes,Known,1
13-7,2013-08-01,Yes,Boston,MA,Southeast,Rural,,Unknown,2,Hispanic,Male,,28,Hispanic,Male,Stranger,1,1,SingleVO,No,0,Yes,Stranger,1
13-8,2012-12-01,Yes,Charlotte,NC,Southeast,Rural,,Unknown,16,White,Female,,,Unknown,Unknown,Unknown,1,1,SingleVO,Yes,0,Yes,,
13-9,2013-05-01,Yes,Charlotte,NC,Southeast,City,,Unknown,13,White,Female,,20,Unknown,Male,Acquaintance,1,1,SingleVO,No,0,Yes,Known,
13-10,2013-08-01,Yes,Charlotte,NC,Southeast,,,Unknown,15,White,Female,,,Unknown,Unknown,Unknown,1,1,SingleVO,No,0,Yes,,
13-11,2013-08-01,Yes,Charlotte,NC,Southeast,Rural,,Unknown,1,Black,Female,,,Unknown,Unknown,Stranger,1,1,SingleVO,No,0,Yes,Stranger,
13-13,2013-04-01,No,Cincinnati,OH,Central,,,Custodial,15,White,Female,No,,Unknown,Male,Grandchild,1,1,SingleVO,No,0,Yes,Family,
13-14,2012-12-01,Yes,Columbia,SC,Southeast,Rural,>10 miles,Custodial,5,White,Male,No,37,White,Male,Child,2,1,MultVic,Yes,0,Yes,Parent,1
13-14,2012-12-01,Yes,Columbia,SC,Southeast,Rural,>10 miles,Custodial,2,White,Female,No,37,White,Male,Child,2,1,MultVic,Yes,0,No,Parent,1
13-16,2012-12-01,Yes,Cleveland,OH,Central,City,,Ransom,1,Black,Male,,,Black,Male,Otherwise Known,1,1,SingleVO,No,0,Yes,Known,1
13-18,2013-05-01,Yes,Cleveland,OH,Central,City,,Unknown,14,White,Male,No,17,White,Male,Sibling,2,1,MultVic,Yes,0,Yes,Family,1
13-18,2013-05-01,Yes,Cleveland,OH,Central,City,,Unknown,17,White,Male,No,17,White,Male,Sibling,2,1,MultVic,Yes,0,No,Family,1
13-19,2013-05-01,No,Cleveland,OH,Central,City,,Custodial,12,Black,Male,No,45,Black,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-77,2013-07-01,Yes,Cleveland,OH,Central,CIty,,Custodial,8,White,Male,No,36,White,Male,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-21,2012-12-01,No,Detroit,MI,Central,Rural,,None,4,White,Male,,37,White,Male,Child of Boyfriend/Girlfriend,2,1,MultVic,No,0,Yes,Known,1
13-21,2012-12-01,No,Detroit,MI,Central,Rural,,None,5,White,Male,,37,White,Male,Child of Boyfriend/Girlfriend,2,1,MultVic,No,0,No,Known,1
13-22,2013-03-01,No,Detroit,MI,Central,City,>10 miles,Unknown,1,Other,Male,No,62,Black,Male,Otherwise Known,1,1,SingleVO,No,0,Yes,Known,0
13-23,2013-09-01,Yes,Detroit,MI,Central,City,,Intent to Keep,3,Black,Male,,27,Black,Female,Otherwise Known,1,1,SingleVO,No,0,Yes,Known,1
13-24,2012-11-01,Yes,Dallas,TX,South Central,City,>10 miles,Custodial,4,White,Male,No,42,White,Male,Child,1,1,SingleVO,Yes,0,Yes,Parent,1
13-26,2013-04-01,Yes,Dallas,TX,South Central,Rural,>10 miles,Custodial,12,Black,Female,No,43,Black,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-27,2013-05-01,Yes,Dallas,TX,South Central,City,1-10 miles,Sexual,,Unknown,Male,Yes,,Black,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,
13-28,2012-10-01,Yes,Denver,CO,West,Rural,1-10 miles,Sexual,10,White,Female,No,17,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
13-29,2012-10-01,Yes,Denver,CO,West,Rural,>10 miles,Sexual,11,White,Female,,39,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
13-30,2012-10-01,No,El Paso,TX,South Central,City,1-10 miles,Custodial,6,White,Female,,47,White,Female,Grandchild,1,1,SingleVO,No,0,Yes,Family,1
13-31,2012-11-01,No,El Paso,TX,South Central,Rural,>10 miles,Sexual,14,Hispanic,Female,No,19,Hispanic,Male,Acquaintance,1,1,SingleVO,Yes,0,Yes,Known,1
13-32,2013-01-01,Yes,Houston,TX,South Central,Rural,>10 miles,Sexual,14,White,Female,No,33,White,Male,Neighbor,1,1,SingleVO,Yes,0,Yes,Known,1
13-33,2013-07-01,Yes,Houston,TX,South Central,City,>10 miles,Custodial,1,Black,Male,No,26,Black,Male,Child,1,1,SingleVO,Yes,0,Yes,Parent,1
13-34,2013-07-01,No,Houston,TX,South Central,Rural,>10 miles,,5,White,Female,No,31,White,Male,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-35,2013-07-01,Yes,Houston,TX,South Central,Rural,,Unknown,15,White,Male,Yes,19,Hispanic,Male,Acquaintance,1,1,SingleVO,No,0,Yes,Known,0
13-36,2013-06-01,Yes,Jacksonville,MS,Southeast,City,,Sexual,8,White,Female,Yes,56,White,Male,Otherwise Known,1,1,SingleVO,Yes,0,Yes,Known,1
13-37,2013-09-01,Yes,Jacksonville,MS,Souheast,Rural,,Custodial,6,White,Female,,45,White,Male,Child,2,1,MultVic,No,0,Yes,Parent,1
13-37,2013-09-01,Yes,Jacksonville,MS,Souheast,Rural,,Custodial,11,White,Female,,45,White,Male,Child,2,1,MultVic,No,0,No,Parent,1
13-38,2013-04-01,Yes,Kansas City,MO,Central,City,1-10 miles,Custodial,5,White,Female,No,35,White,Female,Otherwise Known,1,1,SingleVO,No,0,Yes,Known,1
13-39,2013-05-01,Yes,Kansas City,MO,Central,Rural,>10 miles,Unknown,1,White,Female,,27,White,Male,Unknown,1,1,SingleVO,Yes,0,Yes,,1
13-40,2013-08-01,Yes,Kansas City,MO,Central,Rural,,Sexual,12,White,Female,,34,White,Male,Otherwise Known,1,1,SingleVO,Yes,0,Yes,Known,1
13-41,2012-12-01,Yes,Los Angeles,CA,West,Rural,,Custodial,3,Hispanic,Female,,26,Hispanic,Male,Child of Boyfriend/Girlfriend,1,1,SingleVO,No,0,Yes,Known,1
13-42,2013-05-01,Yes,Los Angeles,CA,West,Rural,1-10 miles,Sexual,10,White,Female,,30,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
