"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","multiple.victims","multiple.offenders","type","victimage.group","victim.tenderage","offenderage.group","population.group","relationship.group","hour.group","NA","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"1","TN0330000","8X-4I4B8639G",20080819,20000101,"HAMILTON                      ",101151,33,65,18,100,1,16,"male","white",0,"resident",38,"male","white",0,59.9,1,1,"SingleVO","11-15","No","30-40","Pop 100-500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","41065"
"2","KS0230100","19-BW1F10U5X",20121207,20000101,"LAWRENCE                      ",89180,23,45,22,100,1,4,"female","white",0,"resident",22,"male","white",0,NA,2,1,"MultVic","0-5","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","15045"
"3","KS0730100"," XCBKCEU7 8N",20090406,20000101,"LARNED                        ",3536,73,145,20,100,1,17,"female","white",0,"resident",42,"male","white",1,NA,1,1,"SingleVO","11-15","No","40-50","Pop <25K","Parent","Night",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","15145"
"4","TN0820200"," N0ARYRV6F N",20081018,19970701,"KINGSPORT                     ",41251,82,163,0,100,1,12,"female","white",1,"resident",33,"male","white",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop 25-100K","Parent","Night",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41163"
"5","SC0010100","CI0AXA5DQ2 N",20080906,19910101,"ABBEVILLE                     ",5529,1,1,14,100,1,17,"female","black",0,"resident",38,"male","black",1,0,1,1,"SingleVO","11-15","No","30-40","Pop <25K","Parent","Afternoon",0,0,"SC","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Other Major Injury","Stepchild","39001"
"6","UT0180500"," DEBKOZHQ2 N",20081003,19931201,"SANDY                         ",96998,18,35,7,100,1,15,"female","white",0,"resident",39,"male","white",1,0,3,1,"MultVic","11-15","No","30-40","Pop 25-100K","Parent","Morning",0,0,"UT","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","43035"
"7","KY0590100","7367KN7IQ-F3",20121112,20090101,"COVINGTON                     ",40914,59,117,13,100,1,16,"female","black",0,"resident",44,"male","black",0,0,1,1,"SingleVO","11-15","No","40-50","Pop 25-100K","Parent","Afternoon",0,0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16117"
"8","VA1170000","1A0NQ4O2JN0W",20110717,19990801,"NORFOLK                       ",245704,NA,NA,7,100,1,6,"female","black",0,"resident",35,"male","black",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45 NA"
"9","MI1101100","7X0BXBRVSQ6A",20100122,19980101,"SP: BERRIEN COUNTY            ",0,11,21,16,100,1,3,"male","white",NA,NA,23,"female",NA,0,NA,1,2,"MultOff","0-5","Yes","20-30",NA,"Parent","Afternoon",NA,NA,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21021"
"10","SC0460000","2W1J0U7P8Y8N",20120907,19910101,"YORK                          ",132469,46,91,8,100,0,9,"female","black",0,"resident",37,"male","black",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"SC","South Atlantic","South","School--elementary/secondary","School","None/Other","None","Stepchild","39091"
"11","WA0110200","7S1I6DRHPU72",20120324,20110101,"PASCO                         ",63806,11,21,17,100,1,13,"female","white",1,"resident",31,"male","white",0,0,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Afternoon",0,0,"WA","Pacific","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","46021"
"12","MA0071800","72-NJAR6I0R2",20110817,19960501,"SPRINGFIELD                   ",153993,7,13,12,100,1,14,"female","white",1,"resident",42,"male","white",0,NA,2,1,"MultVic","11-15","No","40-50","Pop 100-500K","Parent","Morning",0,0,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Stepchild","20013"
"13","CT0015300","LN0NKOZLDI8X",20090416,20030201,"WATERTOWN                     ",22139,3,5,12,100,1,12,"female","white",0,"resident",38,"male","white",1,1.7,1,1,"SingleVO","11-15","Yes","30-40","Pop <25K","Parent","Morning",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06005"
"14","IA0910300","5F1U-0WJ0RVS",20120301,19920101,"CARLISLE                      ",3845,91,181,13,100,1,5,"male","white",0,"resident",27,"male","white",1,0,1,1,"SingleVO","0-5","Yes","20-30","Pop <25K","Parent","Afternoon",0,0,"IA","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Other Major Injury","Stepchild","14181"
"15","KS0700100","323T4EMQ-F39",20111101,20000101,"OSAGE CITY                    ",2962,70,139,12,100,1,8,"male","white",0,"resident",36,"male","white",1,NA,2,2,"MultVO","6-10","Yes","30-40","Pop <25K","Parent","Morning",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","15139"
"16","KS0780100","LN148LPKF39G",20100330,20000101,"HUTCHINSON                    ",40981,78,155,0,100,1,4,"male","white",0,"resident",29,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Stepchild","15155"
"17","WIMPD0000"," 13BU-F8UX I",20111104,20050101,"MILWAUKEE                     ",597426,40,79,16,100,1,5,"male","black",0,"resident",56,"male","black",1,0.9,1,1,"SingleVO","0-5","Yes",">50","Pop >500K","Parent","Afternoon",0,0,"WI","East North Central","Northcentral","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","48079"
"18","KS0060100"," X04SAEBK2 N",20090617,20000101,"FORT SCOTT                    ",7903,6,11,0,100,1,6,"male","white",NA,"resident",36,"male","white",0,NA,2,2,"MultVO","6-10","Yes","30-40","Pop <25K","Parent","Night",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Stepchild","15011"
"19","VA1310000"," D04KC3H72 N",20080108,19961201,"WINCHESTER                    ",25904,NA,NA,0,100,1,11,"female","white",0,NA,30,"male","white",1,10.9,1,1,"SingleVO","11-15","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"VA","South Atlantic","South","Residence/Home","Home",NA,"None","Stepchild","45 NA"
"20","CT00A5900","VH--799-60VS",20120918,20050301,"GROTON TOWN                   ",29231,6,11,22,100,1,13,"female","white",0,"resident",32,"male","white",1,0,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","06011"
"21","TN0130000","3A0WD-PEFG1I",20080805,19981201,"CLAIBORNE                     ",26198,13,25,20,100,1,14,"male","white",0,"resident",38,"female","white",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41025"
"22","CT0004300","2W1H0U7ZZ7J8",20100831,19991201,"EAST HARTFORD                 ",49156,2,3,13,100,1,15,"female","black",1,"resident",45,"male","black",1,18,1,1,"SingleVO","11-15","No","40-50","Pop 25-100K","Parent","Afternoon",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06003"
"23","MI8018000"," A0MQ-F3PD19",20100920,19950101,"VAN BUREN                     ",55704,80,159,23,100,1,4,"female","white",NA,"non-resident",36,"female","white",0,0,1,2,"MultOff","0-5","Yes","30-40","Pop 25-100K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21159"
"24","MI0510500","932W59PUFVU2",20090601,19990101,"ANTRIM                        ",19010,5,9,10,100,1,16,"female","white",NA,"non-resident",36,"male","white",0,NA,1,2,"MultOff","11-15","No","30-40","Pop <25K","Parent","Morning",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21009"
