"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","multiple.victims","multiple.offenders","type","primary.incident","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","victimage.group","offenderage.group","population.group","relationship.group","hour.group","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"1","CT00A5900","VH--799-60VS",20120918,20050301,"GROTON TOWN                   ",29231,6,11,22,100,1,1,1,"SingleVO",1,13,"female","white","not.hispanic","resident",32,"male","white",1,0,"11-15","30-40","Pop 25-100K","Parent","Night",0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","06011"
"2","TN0090300","2W1H0HON9LXX",20100925,19971130,"MCKENZIE                      ",4967,9,17,15,100,1,3,1,"MultVic",0,3,"male","white","not.hispanic","resident",32,"male","white",0,0,"0-5","30-40","Pop <25K","Parent","Afternoon",0,"TN","East South Central","South","Field/Woods","Park/outdoor","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41017"
"3","IA0910300","5F1U-0WJ0RVS",20120301,19920101,"CARLISLE                      ",3845,91,181,13,100,1,1,1,"SingleVO",1,5,"male","white","not.hispanic","resident",27,"male","white",1,0,"0-5","20-30","Pop <25K","Parent","Afternoon",0,"IA","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Other Major Injury","Stepchild","14181"
"4","WA0270300","1A20507UUD1A",20110827,20070101,"TACOMA                        ",201510,27,53,0,100,1,2,1,"MultVic",1,3,"female","black","not.hispanic","resident",32,"male","black",0,0,"0-5","30-40","Pop 100-500K","Parent","Night",0,"WA","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","46053"
"5","KS0520100","7S2NR6KHPU72",20120819,20000101,"LEAVENWORTH                   ",35857,52,103,14,100,1,1,3,"MultOff",1,12,"female","black","not.hispanic","resident",37,"male","black",0,NA,"11-15","30-40","Pop 25-100K","Parent","Afternoon",0,"KS","West North Central","Northcentral","Highway/Road/Alley","Road/transit",NA,"None","Stepchild","15103"
"6","TNMPD0000","BW023TG69EMF",20120417,20000801,"MEMPHIS                       ",657436,79,157,11,100,1,1,1,"SingleVO",1,5,"female","black","not.hispanic","resident",24,"male","black",1,0,"0-5","20-30","Pop >500K","Parent","Morning",0,"TN","East South Central","South","School/College","School","None/Other","Apparent Minor Injury","Stepchild","41157"
"7","LA0080100","0A1H0-X ZG1A",20101105,20020101,"BOSSIER CITY                  ",64232,8,15,19,100,1,1,1,"SingleVO",1,7,"female","white","not.hispanic","resident",27,"male","white",1,NA,"6-10","20-30","Pop 25-100K","Parent","Night",0,"LA","West South Central","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","17015"
"8","SC0460000","2W1J0U7P8Y8N",20120907,19910101,"YORK                          ",132469,46,91,8,100,0,1,1,"SingleVO",1,9,"female","black","not.hispanic","resident",37,"male","black",0,NA,"6-10","30-40","Pop 100-500K","Parent","Morning",0,"SC","South Atlantic","South","School--elementary/secondary","School","None/Other","None","Stepchild","39091"
"9","VA0840200","5F1T-0KJH7VS",20110323,19980201,"WEBER CITY                    ",1343,85,169,NA,100,1,1,3,"MultOff",0,15,"male","white","not.hispanic","resident",17,"male","white",1,0,"11-15","<20","Pop <25K","Parent",NA,0,"VA","South Atlantic","South","Parking Lot/Garage","Shopping","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45169"
"10","WV0200200","GN0B1EEQT2 N",20100727,19981001,"CHARLESTON                    ",50822,20,39,14,100,1,1,1,"SingleVO",1,2,"male","white","not.hispanic","resident",22,"female","white",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Stepchild","47039"
"11","VA0350100","5F19-0W5HPOS",20100406,20010101,"GLEN LYN                      ",165,36,71,18,100,1,1,2,"MultOff",0,7,"female","white","not.hispanic","resident",20,"male","white",0,0,"6-10","<20","Pop <25K","Parent","Afternoon",0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45071"
"12","MA0071800","38-0R142JAO9",20100921,19960501,"SPRINGFIELD                   ",154314,7,13,13,100,1,1,2,"MultOff",0,14,"male","black","not.hispanic","resident",23,"female","black",0,NA,"11-15","20-30","Pop 100-500K","Parent","Afternoon",0,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Stepchild","20013"
