"","current.population","hour.group","victim.age","victim.sex","victim.race","victim.residency","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","location.group","same.race","target.harm"
"1",48452,"Afternoon",13,"female","white","resident",33,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"2",132469,"Morning",9,"female","black","resident",37,"male","black","Single Victim","Single Offender","Parent","South Atlantic","School/Center",0,"0"
"3",686,"Morning",12,"female","white","resident",42,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"1"
"4",0,"Night",3,"female","white","resident",21,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"5",39733,"Night",15,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"1"
"6",0,"Afternoon",3,"male","white","resident",23,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"7",1009834,"Afternoon",13,"female","white","resident",50,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"1"
"8",376880,"Morning",15,"male","black","resident",37,"male","black","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"9",29231,"Night",13,"female","white","resident",32,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"1"
"10",7262,"Morning",8,"female","white","resident",35,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"11",657436,"Morning",5,"female","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"1"
"12",81431,"Night",12,"female","white","resident",39,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"13",3845,"Afternoon",5,"male","white","resident",27,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"1"
"14",64232,"Night",7,"female","white","resident",27,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"1"
"15",234100,"Afternoon",5,"female","black","resident",34,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"16",415028,"Night",12,"female","white","resident",26,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"1"
"17",415028,"Afternoon",13,"male","black","resident",39,"female","black","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"1"
"18",10719,"Morning",4,"male","white","resident",22,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"19",35857,"Afternoon",12,"female","black","resident",37,"male","black","Single Victim","Multiple Offenders","Parent","West North Central","Other",0,"0"
"20",597426,"Afternoon",5,"male","black","resident",56,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"21",50822,"Afternoon",2,"male","white","resident",22,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"22",37741,"Early",15,"female","white","non-resident",35,"male","white","Single Victim","Single Offender","Parent","West North Central","Other",0,"1"
"23",40981,"Night",4,"male","white","resident",29,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"24",7110,"Night",15,"female","black","resident",38,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"1"
"25",31890,"Afternoon",3,"male","white","resident",35,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"26",153993,"Morning",14,"female","white","resident",42,"male","white","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"27",63345,"Night",9,"female","black","resident",53,"male","black","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",0,"0"
"28",201510,"Night",3,"female","black","resident",32,"male","black","Multiple Victims","Single Offender","Parent","Pacific","Home",0,"0"
"29",49156,"Afternoon",15,"female","black","resident",45,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,"1"
"30",28736,"Afternoon",15,"female","white","resident",27,"male","black","Single Victim","Multiple Offenders","Parent","West North Central","Home",1,"1"
"31",37000,"Morning",11,"female","white","non-resident",30,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"32",245704,"Morning",6,"female","black","resident",35,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"33",13832,"Afternoon",10,"female","white","non-resident",44,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"1"
"34",131786,"Morning",11,"female","white","resident",33,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"35",89180,"Night",4,"female","white","resident",22,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"36",2962,"Morning",8,"male","white","resident",36,"male","white","Multiple Victims","Multiple Offenders","Parent","West North Central","Home",0,"1"
"37",55704,"Night",4,"female","white","non-resident",36,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"38",652725,"Afternoon",14,"male","white","resident",64,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"39",58653,"Afternoon",6,"male","white","resident",46,"male","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"40",201510,"Night",5,"male","white","resident",26,"male","white","Multiple Victims","Single Offender","Parent","Pacific","Home",0,"1"
"41",0,"Night",12,"female","white","resident",40,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"1"
"42",63806,"Afternoon",13,"female","white","resident",31,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"43",657436,"Morning",2,"male","white","non-resident",42,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"44",57228,"Night",9,"male","white","resident",37,"male","asian","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",1,"0"
"45",652725,"Afternoon",2,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"46",153993,"Afternoon",5,"male","white","resident",28,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"47",0,"Morning",4,"female","white","resident",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"48",0,"Afternoon",0.5,"female","white","resident",36,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
