"","SEGMENT","STATE","ORI","INCNUM","INCDATE","B1006","B1007","B1009","B1010","B1011","B2005","B2006","B3024","V1006","V1007","V20061","V20071","V20111","V20171","V40181","V40191","V40201","V40221","V40261","V40311","V40321","V50071","V50081","V50091","V60081","agemax","targ1","target","time.arrest","VNumVG","VNumOG","V40181G","V50071G","B2005G","V40321G","V1007G"
"1",1,1,"AL0011200","2W1H0U7 I6TW",20100711,19910101,"HOOVER                        ",30,6,3,52809,37,73,0,13,100,1,25,400,0.5,0,1,0,1,1,5,20,0,1,NA,0.5,1,0,NA,"Single Victim","Single Offender","0-5","<20","Pop 25-100K","Parent","Afternoon"
"2",1,3,"AR0040100","2W1H0U739XTX",20100722,20080101,"BENTONVILLE                   ",40,7,3,39161,4,7,0,3,100,1,20,1,5,0,1,1,2,1,17,38,1,1,NA,5,2,1,NA,"Single Victim","Single Offender","0-5","30-40","Pop 25-100K","Known","Early"
"3",1,3,"AR0040200","2W1H0U72SN X",20100813,20080101,"ROGERS                        ",30,7,3,61417,4,7,0,11,100,1,21,NA,13,1,1,1,1,2,25,51,1,1,20100817,13,0,0,0.6,"Single Victim","Multiple Offenders","11-15",">50","Pop 25-100K","Stranger","Morning"
"4",1,3,"AR0040400","1W-HP-80HG1A",20100322,20030101,"PEA RIDGE                     ",60,7,3,5098,4,7,0,15,100,1,20,1,13,1,1,1,2,1,24,53,0,1,NA,13,1,0,NA,"Single Victim","Single Offender","11-15",">50","Pop <25K","Known","Afternoon"
"5",1,3,"AR0050100","7X-IDQR6IL72",20100916,20021201,"HARRISON                      ",50,7,3,13285,5,9,0,15,100,1,25,1,6,1,1,NA,1,1,5,38,0,1,NA,6,0,0,NA,"Single Victim","Single Offender","6-10","30-40","Pop <25K","Parent","Afternoon"
"6",1,3,"AR0080000"," A-MQ-F1F29H",20100702,20030301,"CARROLL                       ",83,7,3,17321,8,15,0,14,100,1,20,1,12,0,1,1,1,1,NA,26,1,1,NA,12,0,0,NA,"Multiple Victims","Single Offender","11-15","20-30","Pop <25K",NA,"Afternoon"
"7",1,3,"AR0230500"," A-MQ-Q1MD I",20101230,20070101,"GUY                           ",70,7,3,569,23,45,0,14,100,1,13,1,13,0,1,1,1,1,NA,18,1,1,20101230,13,2,1,0,"Single Victim","Single Offender","11-15","<20","Pop <25K",NA,"Afternoon"
"8",1,3,"AR0290100","3A1M1W9Q6X I",20100703,20040701,"HOPE                          ",50,7,3,10368,29,57,0,17,100,1,20,1,3,0,2,NA,1,1,19,29,1,2,NA,3,0,0,NA,"Single Victim","Single Offender","0-5","20-30","Pop <25K","Known","Afternoon"
"9",1,3,"AR0320000","WK-ZMOL4ZJW5",20100519,20070101,"INDEPENDENCE                  ",82,7,3,34690,32,63,0,18,100,1,4,1,13,0,1,1,1,1,NA,16,1,1,20100607,13,2,1,2.7,"Multiple Victims","Single Offender","11-15","<20","Pop 25-100K",NA,"Afternoon"
"10",1,3,"AR0430000","38-0DJI2J739",20101123,20030101,"LONOKE                        ",92,7,3,26503,43,85,0,23,100,1,20,1,12,1,1,1,1,1,9,19,1,1,20101124,12,2,1,0.1,"Single Victim","Single Offender","11-15","<20","Pop 25-100K","Family","Night"
"11",1,3,"AR0430000","C9-0XJH30FCT",20100405,20030101,"LONOKE                        ",92,7,3,26503,43,85,0,0,100,1,20,1,12,0,1,NA,1,1,NA,57,1,1,NA,12,0,0,NA,"Single Victim","Single Offender","11-15",">50","Pop 25-100K",NA,"Night"
"12",1,3,"AR0470700","EH-U72I5UWEM",20100223,20030101,"GOSNELL                       ",60,7,3,3541,47,93,0,18,100,1,25,1,14,0,2,1,1,1,19,17,1,2,20100310,14,2,1,2.1,"Single Victim","Single Offender","11-15","<20","Pop <25K","Known","Afternoon"
"13",1,3,"AR0600100","F2-NJ8J7Q-F3",20100114,20080101,"JACKSONVILLE                  ",40,7,3,31833,60,119,1,15,100,0,13,1,13,0,2,1,1,1,25,79,1,1,20100114,13,0,0,0,"Single Victim","Single Offender","11-15",">50","Pop 25-100K","Stranger","Afternoon"
"14",1,3,"AR0600400","C924A3HPUFCT",20100605,19990201,"SHERWOOD                      ",40,7,3,29370,60,119,0,10,100,0,24,400,12,0,1,1,1,1,24,47,0,4,NA,12,1,0,NA,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Known","Morning"
