FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent
01073,0.8,4,23.4,83.4,61.8,43809,782
04013,0.9,6.8,25.3,79.7,64.3,51976,921
04021,0.9,5.5,27.6,80.2,51.9,48794,965
04027,1.1,3.8,26.4,81.5,54.7,41060,827
05001,0.6,,,,,,
05005,0.8,2.4,21.6,87.1,56.2,38725,547
05007,0.8,4.5,27,86.8,46.4,34256,590
05009,0.6,4,20.3,82.1,64.3,53964,757
05011,0.7,3,26.5,84.8,55.8,36800,553
05015,0.7,,,,,,
05027,0.8,4.6,23.3,78.4,57.2,35263,654
05031,0.7,5.2,21.9,83.5,55.4,33796,560
05033,0.6,6.6,22.7,74.9,63,40907,639
05035,0.7,3.4,23.4,84.2,57.5,38495,600
05037,0.9,3.3,24.2,79.8,63.3,36398,650
05041,0.7,,,,,,
05043,0.8,,,,,,
05045,0.6,,,,,,
05047,0.6,7.4,23.7,82.2,66.8,50066,692
05051,0.7,,,,,,
05055,0.8,5.3,24.9,81.1,55.4,38201,726
05057,0.9,4.2,25.2,85.7,61.1,29849,591
05059,0.7,6.3,21.2,87.8,56.9,41016,645
05061,0.7,,,,,,
05063,0.7,6.7,21.6,84.7,58.2,33058,584
05069,0.8,4.2,22.6,83.3,57.2,37485,646
05071,0.7,3.8,18.6,86.9,57.3,32389,609
05081,0.6,,,,,,
05083,0.7,3.8,22.2,87.4,55.3,36113,504
05085,0.7,3.3,24.2,86.6,66.7,50730,685
05087,0.8,,,,,,
05091,0.7,2.7,23.6,79.3,59.6,38380,662
05093,0.7,4.7,21,82.3,57.7,36226,599
05103,0.9,,,,,,
05107,0.8,2.1,21.5,89.5,57.3,32668,561
05111,0.9,3.9,23.2,85.7,56.6,27337,605
05113,0.7,5.3,19.9,78.5,55.5,30016,521
05119,0.7,3.4,28.9,92,53.7,32830,501
05123,0.6,3.9,22.6,82.6,62.2,39471,606
05125,0.7,5.5,23.4,83,65.4,45256,759
05131,0.7,3.1,23.4,81.7,51.1,32771,590
05133,0.7,3.7,23.4,88.4,64,54847,781
05135,0.8,,,,,,
05137,0.7,4.7,24.3,84.7,60.7,39106,614
05139,0.7,,,,,,
05141,0.7,,,,,,
05143,0.7,,,,,,
05145,0.7,3.5,21.4,87.1,56.4,39300,603
08001,0.8,,,,,,
08005,0.6,6.1,22,75.2,67,40511,685
08007,0.7,3.6,21.9,86.7,57.4,41839,600
08013,0.8,4.1,17.4,89.7,55.3,38130,519
08014,0.9,6.1,22.8,81.9,71,55004,965
08031,0.8,5.4,23.6,80.1,72,59978,964
08035,0.5,,,,,,
08037,0.5,,,,,,
08041,0.5,10.3,17.5,76.5,70.3,66783,1082
08043,0.7,5.3,22.2,82.8,73.7,77239,1137
08045,0.6,9.5,18.7,76.4,71.1,49049,863
08059,0.6,3.7,20.5,85.4,75.1,98327,1237
08069,0.4,11.6,16.2,88.2,82.2,68105,1171
08075,0.6,5.5,26.1,77.4,68.8,55435,887
08077,0.6,3.4,24.2,83.2,38.7,39426,698
08081,0.6,6.7,25.8,78.5,74,53992,1112
08083,0.6,5.5,22.6,84.1,69.9,67060,955
08085,0.5,8.5,23,79.1,69,56274,955
08087,0.3,4.2,23.1,80.3,67.7,41740,593
