"","population.group","incident.hour","completed","victim.age","victim.sex","victim.race","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","loc.group","same.race","target.harm","cluster"
"1","Pop 25-100K",22,1,4,"female","white",22,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,12
"2","Pop 25-100K",12,1,11,"female","white",30,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,0,8
"3","Pop 25-100K",18,1,15,"female","white",27,"male","black","Single Victim","Multiple Offenders","Parent","West North Central","Home",1,1,8
"4","Pop >500K",15,1,7,"female","white",28,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,14
"5","Pop <25K",21,1,15,"female","black",38,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,1,10
"6","Pop 25-100K",17,1,3,"male","white",35,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,1
"7","Pop 25-100K",15,0,3,"male","white",17,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","School",0,0,12
"8","Pop 100-500K",10,1,10,"female","white",19,"male","white","Single Victim","Multiple Offenders","Parent","Mountain","Road/transit",0,1,2
"9","Pop >500K",11,1,5,"female","black",24,"male","black","Single Victim","Single Offender","Parent","East South Central","School",0,1,6
"10","Pop <25K",15,1,3,"male","white",32,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Park/outdoor",0,0,14
"11","Pop 25-100K",15,1,13,"female","white",33,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,0,8
"12","Pop >500K",16,1,5,"male","black",56,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,1,11
"13","Pop 25-100K",14,1,2,"male","white",22,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,6
"14","Pop 100-500K",23,1,12,"female","white",26,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,1,4
"15","Pop 100-500K",0,1,5,"male","white",26,"male","white","Multiple Victims","Single Offender","Parent","Pacific","Home",0,1,5
"16","Pop 100-500K",0,1,4,"female","white",30,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Unknown",0,0,5
"17","Pop >500K",18,1,2,"female","black",31,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"18","Pop 25-100K",13,1,15,"female","black",45,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,1,10
"19","Pop 25-100K",0,1,4,"male","white",29,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,5
"20","Pop 100-500K",14,1,5,"female","black",34,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Road/transit",0,0,1
"21","Pop 25-100K",14,1,12,"female","black",37,"male","black","Single Victim","Multiple Offenders","Parent","West North Central","Road/transit",0,0,8
"22","Pop <25K",13,1,5,"male","white",27,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,1,13
"23","Pop 25-100K",2,1,15,"female","white",35,"male","white","Single Victim","Single Offender","Parent","West North Central","Road/transit",0,1,7
"24","Pop <25K",12,1,8,"male","white",36,"male","white","Multiple Victims","Multiple Offenders","Parent","West North Central","Home",0,1,1
"25","Pop 25-100K",21,1,12,"female","white",39,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,10
"26","Pop 25-100K",17,1,6,"male","white",46,"male","white","Single Victim","Single Offender","Parent","Mountain","Road/transit",0,0,11
"27","Pop 100-500K",12,1,14,"female","white",42,"male","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,10
"29","Pop <25K",11,1,8,"female","white",35,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,13
"30","Pop 25-100K",0,1,9,"female","black",53,"male","black","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",0,0,9
"31","Pop >500K",16,1,14,"male","white",64,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,15
"32","Pop 100-500K",20,1,15,"female","white",20,"female","white","Single Victim","Multiple Offenders","Parent","Mountain","Road/transit",0,1,4
