"","state.name","region.name","division.name","N","inc.2008","inc.2009","inc.2010","inc.2011","inc.2012","inc.3yr","inc.5yr","id","name","Reporting","Population","Percent.Reporting","report.2010","report.2011","report.2012","report.3yr","rate.2010","rate.2011","rate.2012","rate.3yr"
"1","AL","South","East South Central",3,1,0,1,1,0,2,3,1,"Alabama",58860,4822023,"1%",52809,58864,58860,170533,18.9361661837944,16.9883120413156,0,11.7279353556203
"2","AR","South","West South Central",167,30,37,34,41,25,100,167,4,"Arkansas",2882415,2949131,"98%",2786036,2868555,2882415,8537006,12.203718832061,14.2929105420673,8.67328264666955,11.7137085296648
"3","AZ","West","Mountain",21,1,8,4,6,2,12,21,3,"Arizona",410088,6553255,"6%",314984,313924,410088,1038996,12.6990577299164,19.1129063085333,4.87700200932483,11.5496113555779
"4","CO","West","Mountain",466,100,88,88,97,93,278,466,6,"Colorado",4973315,5187582,"96%",3912489,4178917,4973315,13064721,22.4920760160604,23.2117555816495,18.6998008370674,21.2786786644736
"5","CT","Northeast","New England",151,38,33,38,25,17,80,151,7,"Connecticut",2598231,3590347,"72%",2527350,2586191,2598231,7711772,15.0355115041447,9.66672608480967,6.54291323596709,10.3737506762389
"6","DE","South","South Atlantic",206,40,44,49,41,32,122,206,8,"Delaware",912385,917092,"99%",894078,903018,912385,2709481,54.8050617507645,45.4033031456737,35.0729132986623,45.0270734505981
"7","IA","Northcentral","West North Central",133,25,29,26,20,33,79,133,15,"Iowa",2920424,3074186,"95%",2922007,2906336,2920424,8748767,8.89799374197256,6.8815167964062,11.2997290804349,9.02984386256943
"8","ID","West","Mountain",197,56,44,33,33,31,97,197,12,"Idaho",1595221,1595728,"100%",1560966,1584475,1595221,4740662,21.1407551477739,20.8270878366651,19.4330440735171,20.4612773490285
"9","IL","Northcentral","East North Central",34,8,7,8,7,4,19,34,13,"Illinois",152293,12875255,"1%",156180,153331,152293,461804,51.2229478806505,45.6528686306096,26.2651599219925,41.1429957297901
"10","KS","Northcentral","West North Central",635,135,117,125,132,126,383,635,16,"Kansas",2253560,2885905,"78%",2218146,2232441,2253560,6704147,56.3533689847287,59.1281023776216,55.9115355260122,57.1288189235707
"11","KY","South","East South Central",224,4,57,47,52,64,163,224,17,"Kentucky",3650640,4380415,"83%",3518738,3570743,3650640,10740121,13.3570615374035,14.5627954742192,17.5311726163084,15.1767377667347
